fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
2838,"UFC Fight Night: Alvarez vs. Poirier 2","Jose Aldo","Jeremy Stephens",Featherweight,KO/TKO,Punches,1,4:19,6b47093b62155478,474,2838,264,1,"Jeremy Stephens",0,20,60,0,0,0,0,0,0:00,474,2838,264,1,"Jeremy Stephens",16,55,2,3,2,2,16,52,4,8,0,0
2486,"UFC Fight Night: Johnson vs. Reis","Renato Moicano","Jeremy Stephens",Featherweight,S-DEC,NULL,3,5:00,d764ef3e078c96c8,475,2486,233,1,"Jeremy Stephens",0,21,52,0,0,0,0,0,0:00,475,2486,233,1,"Jeremy Stephens",3,31,1,1,6,9,10,41,0,0,0,0
2486,"UFC Fight Night: Johnson vs. Reis","Renato Moicano","Jeremy Stephens",Featherweight,S-DEC,NULL,3,5:00,d764ef3e078c96c8,476,2486,233,1,"Renato Moicano",0,26,41,1,1,0,1,0,1:30,476,2486,233,1,"Renato Moicano",4,11,1,3,18,23,20,34,0,0,3,3
2486,"UFC Fight Night: Johnson vs. Reis","Renato Moicano","Jeremy Stephens",Featherweight,S-DEC,NULL,3,5:00,d764ef3e078c96c8,477,2486,233,2,"Jeremy Stephens",0,23,81,0,1,0,0,0,0:00,477,2486,233,2,"Jeremy Stephens",9,62,4,6,10,13,22,80,1,1,0,0
2486,"UFC Fight Night: Johnson vs. Reis","Renato Moicano","Jeremy Stephens",Featherweight,S-DEC,NULL,3,5:00,d764ef3e078c96c8,478,2486,233,2,"Renato Moicano",0,23,44,0,1,0,0,0,0:00,478,2486,233,2,"Renato Moicano",17,38,1,1,5,5,23,43,0,1,0,0
2486,"UFC Fight Night: Johnson vs. Reis","Renato Moicano","Jeremy Stephens",Featherweight,S-DEC,NULL,3,5:00,d764ef3e078c96c8,479,2486,233,3,"Jeremy Stephens",0,29,91,0,0,0,0,0,0:00,479,2486,233,3,"Jeremy Stephens",16,75,2,3,5,7,21,80,2,5,0,0
2486,"UFC Fight Night: Johnson vs. Reis","Renato Moicano","Jeremy Stephens",Featherweight,S-DEC,NULL,3,5:00,d764ef3e078c96c8,480,2486,233,3,"Renato Moicano",0,27,38,1,3,0,0,0,0:46,480,2486,233,3,"Renato Moicano",18,29,1,1,5,5,23,33,1,2,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,481,2282,215,1,"Cub Swanson",0,17,40,0,0,0,0,0,0:00,481,2282,215,1,"Cub Swanson",7,25,2,6,7,8,16,39,0,0,0,0
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,482,2282,215,1,"Jeremy Stephens",0,10,37,1,1,0,0,0,0:33,482,2282,215,1,"Jeremy Stephens",4,25,0,1,3,8,7,33,0,0,0,1
2282,"UFC Fight Night: Swanson vs Stephens","Cub Swanson","Jeremy Stephens",Featherweight,U-DEC,NULL,5,5:00,46cfb41b00cb5ad8,483,2282,215,2,"Cub Swanson",0,9,33,0,0,0,0,0,0:00,483,2282,215,2,"Cub Swanson",3,24,2,2,3,5,8,31,0,0,0,0
